Accident_ID,Date,Time_Slot,State,City,Road_Type,Weather,Vehicle_Type,Driver_Age,Alcohol_Involved,Helmet_Used,Estimated_Speed,Casualties,Deaths,Accident_Severity
ACC000044,15-04-2023,Morning,,East Delhi,Village Road,Clear,Two-Wheeler,16,No,Yes,36,3,0,Minor
ACC000045,17-05-2025,Night,,Puducherry,State Road,Cloudy,Truck,51,No,NA,56,1,0,Minor
ACC000046,02-04-2025,Morning,Uttar Pradesh,Kanpur,State Road,Clear,Two-Wheeler,43,No,No,54,1,1,Fatal
ACC000047,02-08-2023,Morning,West Bengal,Howrah,Flyover,Clear,Two-Wheeler,24,No,Yes,51,0,0,Property Damage
ACC000048,05-03-2023,Afternoon,Telangana,Hyderabad,Village Road,Foggy,Two-Wheeler,42,No,No,53,0,0,Property Damage
ACC000049,01-10-2024,Morning,Maharashtra,Nagpur,Village Road,Clear,Two-Wheeler,47,No,No,61,2,0,Minor
ACC000050,05-08-2022,Night,Kerala,Thrissur,Highway,Rainy,Bus,27,Yes,NA,47,0,0,Property Damage
ACC000051,23-10-2022,Night,,Chandigarh,Highway,Clear,Bus,41,Yes,NA,69,2,0,Minor
ACC000052,13-01-2022,Night,Uttar Pradesh,Noida,City Road,Cloudy,Two-Wheeler,49,No,Yes,31,1,0,Minor
ACC000053,03-03-2025,Evening,Gujarat,Rajkot,Highway,Clear,Car,17,No,NA,88,5,0,Major
ACC000054,07-09-2024,Evening,Himachal Pradesh,Shimla,City Road,Cloudy,Two-Wheeler,43,No,No,40,0,0,Property Damage
ACC000055,30-10-2024,Morning,Kerala,Thrissur,Highway,Cloudy,Two-Wheeler,41,No,No,68,5,0,Major
ACC000056,21-02-2025,Afternoon,Gujarat,Surat,City Road,Cloudy,Car,60,No,NA,50,3,0,Major
ACC000057,04-11-2023,Morning,,Puducherry,City Road,Clear,Truck,43,No,NA,50,2,0,Minor
ACC000058,25-04-2024,Night,Gujarat,Vadodara,City Road,Cloudy,Truck,31,No,NA,52,2,0,Major
ACC000059,05-08-2022,Morning,Tamil Nadu,Salem,City Road,Clear,Two-Wheeler,32,Yes,Yes,39,2,0,Minor
ACC000060,02-07-2022,Morning,Uttar Pradesh,Meerut,City Road,Rainy,Car,62,No,NA,41,0,0,Property Damage
ACC000061,12-09-2024,Afternoon,,South Delhi,State Road,Rainy,Two-Wheeler,31,No,Yes,56,2,0,Minor
ACC000062,20-11-2023,Morning,Karnataka,Mysuru,Arterial Road,Cloudy,Two-Wheeler,44,No,No,39,9,3,Fatal
ACC000063,19-04-2024,Evening,Andhra Pradesh,Vijayawada,State Road,Cloudy,Two-Wheeler,33,No,Yes,52,0,0,Property Damage
ACC000064,25-01-2025,Evening,Tamil Nadu,Tiruchirappalli,City Road,Foggy,Two-Wheeler,50,No,No,41,0,0,Property Damage
ACC000065,29-07-2024,Night,West Bengal,Howrah,City Road,Rainy,Two-Wheeler,51,No,Yes,55,1,0,Minor
ACC000066,30-03-2024,Night,,South Delhi,Highway,Clear,Two-Wheeler,36,Yes,No,80,0,0,Property Damage
ACC000067,09-04-2024,Morning,Andhra Pradesh,Visakhapatnam,Highway,Cloudy,Truck,31,No,NA,63,5,1,Fatal
ACC000068,01-04-2023,Evening,,Srinagar,City Road,Clear,Two-Wheeler,30,No,Yes,39,0,0,Property Damage
ACC000069,20-02-2022,Afternoon,Karnataka,Hubli,Village Road,Clear,Two-Wheeler,16,No,Yes,75,0,0,Property Damage
ACC000070,07-10-2023,Evening,Andhra Pradesh,Vijayawada,Highway,Clear,Bicycle,37,No,NA,87,2,0,Major
ACC000071,12-11-2022,Morning,Goa,Panaji,Highway,Clear,Auto-Rickshaw,37,No,NA,73,3,1,Fatal
ACC000072,30-08-2023,Morning,Gujarat,Vadodara,State Road,Clear,Two-Wheeler,25,No,Yes,58,3,1,Fatal
ACC000073,17-06-2025,Afternoon,Karnataka,Hubli,State Road,Rainy,Two-Wheeler,16,No,No,88,1,0,Minor
ACC000074,07-12-2022,Morning,Goa,Panaji,Highway,Clear,Two-Wheeler,39,No,No,65,2,0,Minor
ACC000075,08-04-2022,Evening,Rajasthan,Jaipur,City Road,Cloudy,Bicycle,40,No,NA,43,2,1,Fatal
ACC000076,22-02-2023,Morning,Andhra Pradesh,Vijayawada,Flyover,Clear,Two-Wheeler,41,No,Yes,47,3,0,Major
ACC000077,14-03-2023,Morning,,Puducherry,City Road,Clear,Two-Wheeler,23,No,No,59,3,2,Fatal
ACC000078,03-09-2024,Afternoon,Maharashtra,Nashik,State Road,Rainy,Truck,41,No,NA,69,2,0,Minor
ACC000079,05-04-2024,Morning,Kerala,Kochi,Village Road,Clear,Truck,34,No,NA,46,0,0,Property Damage
ACC000080,26-02-2025,Afternoon,Uttar Pradesh,Noida,City Road,Clear,Two-Wheeler,47,No,No,43,2,1,Fatal
ACC000081,07-09-2024,Morning,Rajasthan,Kota,State Road,Clear,Two-Wheeler,23,No,No,72,3,0,Major
ACC000082,27-08-2023,Night,Madhya Pradesh,Jabalpur,City Road,Rainy,Two-Wheeler,51,No,Yes,26,6,0,Major
ACC000083,17-04-2025,Evening,Punjab,Amritsar,City Road,Foggy,Two-Wheeler,56,No,Yes,44,1,0,Major
ACC000084,10-09-2022,Evening,Maharashtra,Mumbai,Highway,Cloudy,Two-Wheeler,38,No,No,58,1,0,Minor
ACC000085,07-02-2022,Afternoon,Punjab,Jalandhar,Flyover,Clear,Bus,41,No,NA,43,1,0,Minor
ACC000086,30-05-2022,Afternoon,Karnataka,Hubli,City Road,Clear,Truck,46,No,NA,32,2,0,Minor
ACC000087,21-11-2024,Afternoon,Rajasthan,Jodhpur,City Road,Cloudy,Truck,23,No,NA,51,1,0,Major
ACC000088,08-11-2023,Morning,Kerala,Kozhikode,Flyover,Rainy,Truck,30,Yes,NA,43,6,1,Fatal
ACC000089,03-09-2022,Morning,Odisha,Rourkela,Highway,Clear,Car,38,No,NA,71,5,2,Fatal
ACC000090,03-01-2024,Afternoon,Gujarat,Vadodara,Village Road,Cloudy,Two-Wheeler,62,Yes,Yes,58,5,0,Major
ACC000091,22-08-2022,Night,Rajasthan,Jaipur,State Road,Clear,Truck,,No,NA,35,2,0,Minor
ACC000092,19-10-2024,Night,Goa,Margao,State Road,Rainy,Two-Wheeler,57,No,No,50,9,3,Fatal
ACC000093,19-10-2023,Evening,Telangana,Nizamabad,Highway,Foggy,Two-Wheeler,33,No,Yes,65,0,0,Property Damage
ACC000094,25-07-2023,Night,Madhya Pradesh,Gwalior,Arterial Road,Rainy,Two-Wheeler,36,No,Yes,42,0,0,Property Damage
ACC000095,27-03-2023,Afternoon,,North Delhi,City Road,Clear,Truck,52,No,NA,43,3,1,Fatal
ACC000096,23-07-2024,Afternoon,Kerala,Kozhikode,Flyover,Rainy,Car,62,No,NA,24,4,0,Minor
ACC000097,29-06-2023,Morning,Uttar Pradesh,Kanpur,Village Road,Rainy,Car,41,No,NA,34,7,1,Fatal
ACC000098,27-05-2022,Night,Andhra Pradesh,Vijayawada,Highway,Clear,Car,51,No,NA,71,3,0,Minor
ACC000099,07-07-2022,Morning,Tamil Nadu,Coimbatore,Arterial Road,Clear,Bus,24,No,NA,43,2,0,Minor
ACC000100,08-11-2025,Night,Madhya Pradesh,Indore,Arterial Road,Clear,Two-Wheeler,29,No,No,46,0,0,Property Damage
ACC000101,30-08-2025,Evening,Chhattisgarh,Raipur,State Road,Clear,Two-Wheeler,18,No,No,51,4,1,Fatal
ACC000102,23-10-2024,Morning,Tamil Nadu,Coimbatore,City Road,Clear,Truck,29,No,NA,49,1,0,Minor
ACC000103,27-01-2023,Night,Assam,Silchar,Arterial Road,Clear,Car,43,No,NA,42,0,0,Property Damage
ACC000104,17-11-2025,Morning,,New Delhi,State Road,Foggy,Car,39,No,NA,51,6,3,Fatal
ACC000105,17-02-2025,Morning,Bihar,Bhagalpur,Arterial Road,Clear,Two-Wheeler,58,No,Yes,40,2,0,Minor
ACC000106,14-11-2024,Morning,Odisha,Cuttack,Highway,Clear,Bicycle,63,No,NA,58,9,2,Fatal
ACC000107,23-10-2023,Night,Odisha,Rourkela,Arterial Road,Cloudy,Two-Wheeler,34,No,No,40,6,1,Fatal
ACC000108,07-02-2023,Morning,,Port Blair,State Road,Clear,Auto-Rickshaw,27,No,NA,64,1,0,Minor
ACC000109,08-06-2022,Evening,Kerala,Thiruvananthapuram,State Road,Rainy,Truck,51,No,NA,34,7,1,Fatal
ACC000110,22-08-2025,Night,Maharashtra,Nashik,Flyover,Rainy,Auto-Rickshaw,52,Yes,NA,37,0,0,Property Damage
ACC000111,31-10-2023,Night,Andhra Pradesh,Visakhapatnam,State Road,Rainy,Two-Wheeler,42,No,No,62,2,0,Major
ACC000112,27-10-2022,Morning,Andhra Pradesh,Vijayawada,City Road,Clear,Car,45,Yes,NA,50,4,0,Major
ACC000113,04-04-2023,Morning,Maharashtra,Nagpur,Highway,Rainy,Two-Wheeler,43,No,No,87,2,1,Fatal
ACC000114,12-05-2024,Afternoon,Bihar,Gaya,State Road,Clear,Two-Wheeler,23,No,Yes,54,3,1,Fatal
ACC000115,24-09-2022,Night,Uttar Pradesh,Meerut,State Road,Clear,Two-Wheeler,20,No,Yes,49,1,0,Minor
ACC000116,22-06-2025,Evening,,East Delhi,Village Road,Rainy,Two-Wheeler,35,No,Yes,39,2,0,Minor
ACC000117,14-01-2025,Morning,Karnataka,Mysuru,Highway,Clear,Two-Wheeler,33,Yes,Yes,64,0,0,Property Damage
ACC000118,17-11-2024,Afternoon,Uttar Pradesh,Noida,City Road,Cloudy,Car,40,No,NA,49,3,0,Minor
ACC000119,01-10-2023,Afternoon,Tamil Nadu,Chennai,City Road,Cloudy,Two-Wheeler,34,No,Yes,40,0,0,Property Damage
ACC000120,19-07-2024,Afternoon,Madhya Pradesh,Indore,State Road,Rainy,Two-Wheeler,16,No,No,58,6,0,Major
ACC000121,20-05-2024,Night,Karnataka,Mysuru,Village Road,Clear,Two-Wheeler,16,No,Yes,69,0,0,Property Damage
ACC000122,18-08-2024,Night,Uttar Pradesh,Ghaziabad,Village Road,Clear,Truck,46,No,NA,51,0,0,Property Damage
ACC000123,21-05-2022,Night,Karnataka,Bengaluru,Arterial Road,Clear,Two-Wheeler,27,No,Yes,39,1,0,Minor
ACC000124,09-09-2023,Morning,Maharashtra,Pune,Highway,Rainy,Truck,33,No,NA,54,2,0,Major
ACC000125,11-03-2022,Night,Rajasthan,Jodhpur,Highway,Clear,Two-Wheeler,29,Yes,Yes,82,9,2,Fatal
ACC000126,23-12-2023,Night,Rajasthan,Kota,State Road,Clear,Car,24,No,NA,72,3,0,Minor
ACC000127,14-05-2023,Afternoon,Kerala,Kochi,Flyover,Cloudy,Truck,24,No,NA,38,2,1,Fatal
ACC000128,12-08-2022,Afternoon,Kerala,Thrissur,City Road,Rainy,Car,49,No,NA,39,0,0,Property Damage
ACC000129,18-06-2022,Morning,Tamil Nadu,Salem,Flyover,Rainy,Car,33,No,NA,49,2,0,Major
ACC000130,26-05-2024,Morning,Uttar Pradesh,Meerut,City Road,Clear,Auto-Rickshaw,44,Yes,NA,32,3,0,Minor
ACC000131,15-09-2022,Afternoon,Madhya Pradesh,Gwalior,Highway,Rainy,Two-Wheeler,46,No,No,73,7,2,Fatal
ACC000132,21-09-2025,Morning,Chhattisgarh,Raipur,Arterial Road,Cloudy,Two-Wheeler,40,No,No,40,0,0,Property Damage
ACC000133,15-05-2024,Morning,,Chandigarh,Flyover,Clear,Auto-Rickshaw,46,No,NA,32,1,0,Minor
ACC000134,09-06-2023,Morning,,North Delhi,City Road,Rainy,Bus,36,No,NA,58,0,0,Property Damage
ACC000135,01-06-2024,Afternoon,Andhra Pradesh,Vijayawada,Highway,Clear,Car,54,No,NA,63,4,1,Fatal
ACC000136,07-02-2022,Night,Andhra Pradesh,Visakhapatnam,Highway,Clear,Two-Wheeler,47,No,Yes,76,0,0,Property Damage
ACC000137,03-11-2025,Morning,Kerala,Thiruvananthapuram,Arterial Road,Clear,Two-Wheeler,48,No,No,32,2,1,Fatal
ACC000138,05-12-2023,Morning,Jharkhand,Ranchi,Arterial Road,Clear,Bus,24,No,NA,68,0,0,Property Damage
ACC000139,24-02-2025,Night,Jharkhand,Dhanbad,City Road,Cloudy,Truck,39,No,NA,60,1,0,Minor
ACC000140,18-05-2022,Morning,Himachal Pradesh,Manali,State Road,Clear,Two-Wheeler,16,No,Yes,58,5,1,Fatal
ACC000141,12-12-2023,Evening,Arunachal Pradesh,Itanagar,State Road,Foggy,Two-Wheeler,54,No,No,49,8,1,Fatal
ACC000142,18-12-2023,Night,West Bengal,Howrah,Arterial Road,Foggy,Truck,28,No,NA,54,1,0,Minor
ACC000143,08-10-2025,Afternoon,Jharkhand,Dhanbad,Highway,Clear,Car,30,No,NA,61,2,0,Minor
ACC000144,29-04-2024,Morning,Assam,Dibrugarh,City Road,Clear,Bicycle,18,No,NA,59,1,0,Minor
ACC000145,23-11-2023,Night,Kerala,Thrissur,Flyover,Clear,Two-Wheeler,36,Yes,Yes,27,5,1,Fatal
ACC000146,29-01-2023,Night,,East Delhi,Arterial Road,Foggy,Two-Wheeler,33,No,Yes,35,3,0,Major
ACC000147,17-05-2023,Morning,Tamil Nadu,Tiruchirappalli,Village Road,Rainy,Two-Wheeler,60,No,No,54,1,0,Minor
ACC000148,04-02-2024,Evening,,Leh,State Road,Clear,Car,47,No,NA,45,1,0,Major
ACC000149,09-10-2023,Morning,Jharkhand,Ranchi,Highway,Cloudy,Two-Wheeler,29,No,No,63,8,2,Fatal
ACC000150,05-02-2022,Night,Tamil Nadu,Salem,City Road,Clear,Two-Wheeler,16,No,Yes,37,0,0,Property Damage
ACC000151,08-05-2025,Morning,Haryana,Faridabad,Arterial Road,Rainy,Two-Wheeler,16,No,Yes,69,2,0,Minor
ACC000152,14-08-2025,Morning,Uttar Pradesh,Agra,Arterial Road,Rainy,Two-Wheeler,23,No,No,42,3,1,Fatal
ACC000153,06-08-2022,Evening,Jharkhand,Jamshedpur,City Road,Rainy,Bus,19,No,NA,78,7,1,Fatal
ACC000154,31-03-2024,Morning,Assam,Silchar,City Road,Clear,Two-Wheeler,41,No,No,36,5,2,Fatal
ACC000155,25-06-2022,Morning,Bihar,Gaya,State Road,Clear,Car,34,No,NA,60,1,1,Fatal
ACC000156,17-09-2024,Night,Goa,Margao,Highway,Rainy,Truck,,No,NA,78,2,0,Major
ACC000157,22-02-2023,Afternoon,Tamil Nadu,Chennai,State Road,Clear,Two-Wheeler,,No,Yes,49,2,0,Major
ACC000158,31-08-2024,Evening,Karnataka,Bengaluru,City Road,Rainy,Car,38,No,NA,37,1,0,Minor
ACC000159,27-11-2024,Afternoon,West Bengal,Kolkata,Flyover,Clear,Bus,18,No,NA,49,4,0,Minor
ACC000160,01-02-2025,Evening,Uttar Pradesh,Noida,City Road,Clear,Car,35,No,NA,39,1,0,Minor
ACC000161,24-06-2022,Evening,Gujarat,Surat,Highway,Cloudy,Car,47,No,NA,49,0,0,Property Damage
ACC000162,09-09-2025,Afternoon,Karnataka,Mysuru,Flyover,Rainy,Bus,31,No,NA,47,1,0,Minor
ACC000163,02-12-2022,Morning,Rajasthan,Udaipur,Highway,Foggy,Bicycle,42,Yes,NA,58,0,0,Property Damage
ACC000164,04-03-2022,Night,West Bengal,Howrah,Village Road,Cloudy,Bus,16,No,NA,60,3,0,Major
ACC000165,01-04-2024,Afternoon,Manipur,Imphal,Village Road,Clear,Two-Wheeler,16,No,No,79,3,1,Fatal
ACC000166,11-07-2023,Evening,Karnataka,Mangaluru,State Road,Rainy,Car,40,No,NA,57,2,0,Major
ACC000167,13-05-2025,Morning,Arunachal Pradesh,Itanagar,City Road,Clear,Car,50,No,NA,37,1,0,Minor
ACC000168,07-04-2025,Night,West Bengal,Kolkata,City Road,Cloudy,Two-Wheeler,33,Yes,Yes,52,3,0,Major
ACC000169,23-04-2023,Morning,Kerala,Thiruvananthapuram,Village Road,Clear,Car,64,No,NA,53,1,0,Minor
ACC000170,27-10-2025,Afternoon,Andhra Pradesh,Guntur,Village Road,Clear,Bus,17,No,NA,62,5,0,Minor
ACC000171,10-03-2023,Evening,West Bengal,Howrah,Highway,Cloudy,Two-Wheeler,27,No,No,61,0,0,Property Damage
ACC000172,26-01-2024,Night,Karnataka,Bengaluru,City Road,Clear,Auto-Rickshaw,38,No,NA,52,1,0,Major
ACC000173,11-01-2023,Afternoon,Andhra Pradesh,Vijayawada,City Road,Cloudy,Pedestrian-Involved,42,No,NA,50,2,0,Major
ACC000174,05-10-2025,Evening,Maharashtra,Pune,Highway,Clear,Two-Wheeler,28,No,No,46,3,0,Major
ACC000175,07-09-2022,Night,Kerala,Kochi,Village Road,Rainy,Two-Wheeler,22,Yes,Yes,47,1,0,Major
ACC000176,16-03-2022,Night,Telangana,Hyderabad,City Road,Clear,Bicycle,44,No,NA,49,2,1,Fatal
ACC000177,05-10-2023,Night,West Bengal,Siliguri,State Road,Clear,Two-Wheeler,38,Yes,No,38,4,0,Major
ACC000178,20-12-2025,Afternoon,Uttarakhand,Dehradun,Village Road,Foggy,Truck,32,No,NA,60,2,0,Minor
ACC000179,08-08-2025,Evening,Karnataka,Mysuru,Arterial Road,Rainy,Two-Wheeler,42,No,No,60,3,0,Minor
ACC000180,29-12-2024,Night,,Srinagar,Arterial Road,Clear,Two-Wheeler,34,No,Yes,46,0,0,Property Damage
ACC000181,06-08-2025,Afternoon,Jharkhand,Jamshedpur,Highway,Cloudy,Two-Wheeler,34,No,No,55,4,0,Minor
ACC000182,10-08-2025,Afternoon,,Jammu,City Road,Rainy,Two-Wheeler,34,No,No,44,5,1,Fatal
ACC000183,02-02-2024,Morning,Himachal Pradesh,Dharamshala,City Road,Clear,Auto-Rickshaw,25,No,NA,52,1,0,Minor
ACC000184,21-04-2023,Morning,Maharashtra,Pune,Highway,Clear,Two-Wheeler,24,No,Yes,79,1,0,Major
ACC000185,06-02-2025,Afternoon,Andhra Pradesh,Vijayawada,City Road,Clear,Two-Wheeler,29,No,No,47,6,0,Major
ACC000186,03-09-2024,Afternoon,Maharashtra,Mumbai,Highway,Rainy,Truck,36,No,NA,56,0,0,Property Damage
ACC000187,15-07-2023,Night,Uttarakhand,Haridwar,City Road,Rainy,Bicycle,16,No,NA,55,1,0,Minor
ACC000188,05-06-2022,Morning,Bihar,Patna,City Road,Rainy,Two-Wheeler,48,No,No,51,5,3,Fatal
ACC000189,26-12-2024,Morning,Karnataka,Bengaluru,Village Road,Foggy,Truck,36,No,NA,43,1,1,Fatal
ACC000190,21-01-2023,Night,,South Delhi,Highway,Clear,Two-Wheeler,22,No,No,37,5,3,Fatal
ACC000191,06-10-2025,Night,Tamil Nadu,Chennai,City Road,Rainy,Bus,57,Yes,NA,40,3,0,Minor
ACC000192,18-12-2022,Morning,Telangana,Warangal,Village Road,Foggy,Truck,37,No,NA,54,1,0,Minor
ACC000193,13-07-2022,Night,Odisha,Bhubaneswar,Highway,Foggy,Auto-Rickshaw,19,No,NA,91,6,1,Fatal
ACC000194,16-05-2025,Morning,Uttar Pradesh,Noida,State Road,Cloudy,Car,56,No,NA,69,3,0,Major
ACC000195,23-08-2022,Morning,Bihar,Bhagalpur,Village Road,Cloudy,Bicycle,54,No,NA,52,4,0,Minor
ACC000196,27-09-2022,Evening,Uttarakhand,Haridwar,Arterial Road,Foggy,Two-Wheeler,24,No,No,62,3,0,Minor
ACC000197,12-06-2024,Afternoon,Uttar Pradesh,Noida,City Road,Cloudy,Truck,32,No,NA,44,2,1,Fatal
ACC000198,16-07-2025,Night,Andhra Pradesh,Vijayawada,Arterial Road,Rainy,Truck,30,No,NA,46,1,0,Minor
ACC000199,19-10-2022,Night,Karnataka,Bengaluru,Arterial Road,Cloudy,Two-Wheeler,16,No,Yes,52,2,0,Minor
ACC000200,11-04-2023,Morning,Punjab,Ludhiana,Highway,Cloudy,Auto-Rickshaw,40,No,NA,74,2,1,Fatal
ACC000201,15-02-2025,Evening,Tamil Nadu,Coimbatore,City Road,Clear,Truck,47,No,NA,36,2,0,Minor
ACC000202,21-11-2025,Afternoon,,New Delhi,City Road,Cloudy,Auto-Rickshaw,45,No,NA,60,0,0,Property Damage
ACC000203,02-01-2024,Afternoon,Arunachal Pradesh,Itanagar,Highway,Foggy,Two-Wheeler,36,No,Yes,34,5,0,Major
ACC000204,11-08-2022,Morning,Maharashtra,Pune,City Road,Clear,Bus,48,No,NA,48,4,0,Major
ACC000205,23-01-2022,Night,Kerala,Thiruvananthapuram,City Road,Foggy,Two-Wheeler,21,No,No,68,4,0,Major
ACC000206,01-12-2022,Morning,Bihar,Gaya,State Road,Foggy,Bicycle,60,No,NA,55,1,0,Minor
ACC000207,25-07-2022,Evening,Odisha,Bhubaneswar,Village Road,Rainy,Two-Wheeler,26,No,Yes,38,2,0,Minor
ACC000208,24-09-2024,Night,West Bengal,Siliguri,City Road,Rainy,Car,27,Yes,NA,27,0,0,Property Damage
ACC000209,12-07-2022,Morning,Maharashtra,Pune,City Road,Clear,Two-Wheeler,29,No,No,48,2,0,Minor
ACC000210,12-01-2024,Night,Tamil Nadu,Salem,State Road,Foggy,Truck,28,Yes,NA,65,3,0,Major
ACC000211,16-10-2024,Morning,,Kavaratti,Arterial Road,Cloudy,Two-Wheeler,33,No,Yes,44,0,0,Property Damage
ACC000212,15-05-2024,Evening,Gujarat,Vadodara,Arterial Road,Clear,Auto-Rickshaw,33,No,NA,50,1,0,Minor
ACC000213,23-10-2022,Night,Meghalaya,Shillong,Highway,Clear,Auto-Rickshaw,38,No,NA,61,0,0,Property Damage
ACC000214,31-03-2025,Morning,Gujarat,Rajkot,City Road,Clear,Two-Wheeler,25,No,Yes,45,0,0,Property Damage
ACC000215,12-11-2024,Morning,,North Delhi,Highway,Cloudy,Bus,38,No,NA,86,2,0,Major
ACC000216,14-12-2024,Night,Tamil Nadu,Coimbatore,Highway,Foggy,Truck,22,No,NA,70,0,0,Property Damage
ACC000217,24-07-2022,Night,Tamil Nadu,Madurai,Highway,Rainy,Car,46,No,NA,85,6,0,Major
