Accident_ID,Date,Year,Month,Day,Day_of_Week,Time,Quarter,State,District,Region,Urban_Rural,Highway_Type,Road_Type,Weather,Visibility,Road_Condition,Light_Condition,Traffic_Density,Vehicle_Type,Number_of_Vehicles,Driver_Age,Driver_Gender,Driver_Experience_Years,Speed_Limit,Estimated_Speed,Helmet_Used,Seatbelt_Used,Alcohol_Involved,Mobile_Phone_Usage,Accident_Cause,Collision_Type,Severity,Number_of_Casualties,Number_of_Fatalities,Number_of_Injured,Emergency_Response_Time_Minutes,Hospital_Nearby,Vehicle_Damage_Cost,Insurance_Claim,FIR_Registered,Hit_and_Run,Festival_Season,Holiday,Rainfall_mm,Temperature,Latitude,Longitude
ACC100003,28-04-2023,2023,4,28,Friday,22:49,Q2,Madhya Pradesh,Madhya_District-2,Central,Rural,Village Road,Straight Road,Cloudy,Moderate,Potholes,Night - Streetlight,Moderate,Auto-Rickshaw,2,26,Male,4,30,35,N/A,N/A,No,No,Fog/Low Visibility,Pedestrian Hit,Minor,1,0,1,33,Yes,15354,Yes,No,No,No,No,0.3,31.2,22.6257,78.3082
ACC100141,30-09-2024,2024,9,30,Monday,21:01,Q3,Madhya Pradesh,Madhya_District-1,Central,Urban,City Road,Straight Road,Cloudy,Moderate,Dry,Night - Streetlight,High,Auto-Rickshaw,4,44,Male,23,40,39,N/A,N/A,No,Yes,Mobile Phone Usage,Rear-end Collision,Minor,1,0,1,17,No,15057,No,Yes,No,No,No,1.5,27.8,22.4731,78.3709
ACC101038,02-05-2024,2024,5,2,Thursday,08:08,Q2,Madhya Pradesh,Madhya_District-7,Central,Rural,City Road,Curve/Bend,Rainy,Poor,Wet,Daylight,Very High,Car,3,59,Male,36,40,54,N/A,No,No,Yes,Fog/Low Visibility,Vehicle Rollover,Fatal,5,2,3,7,No,236326,Yes,Yes,No,No,No,17,30.2,23.1644,78.663
ACC100351,12-03-2023,2023,3,12,Sunday,19:26,Q1,Maharashtra,Maharashtra_District-7,West,Urban,Expressway,Roundabout,Rainy,Poor,Oil Spill,Night - Streetlight,Very High,Car,1,34,Male,15,100,90,N/A,Yes,No,Yes,Overspeeding,Pedestrian Hit,Fatal,2,2,0,,Yes,172512,Yes,Yes,No,No,No,1.3,24,19.9241,74.4829
ACC101825,06-08-2024,2024,8,6,Tuesday,17:40,Q3,Telangana,Telangana_District-4,South,Rural,City Road,Straight Road,Cloudy,Moderate,Potholes,Daylight,High,Auto-Rickshaw,2,21,Male,0,40,60,N/A,N/A,No,No,Fog/Low Visibility,Multi-Vehicle Pileup,Fatal,2,1,1,31,Yes,147983,No,Yes,No,No,Yes,0.7,32.1,18.2793,79.4213
ACC100859,15-04-2023,2023,4,15,Saturday,20:49,Q2,Punjab,Punjab_District-1,North,Urban,National Highway,Straight Road,Clear,Good,Dry,Night - No Streetlight,Low,Truck,1,48,Male,,80,59,N/A,N/A,No,Yes,Mobile Phone Usage,Head-on Collision,Serious,4,1,3,17,Yes,48678,No,Yes,No,No,No,1.2,33.1,31.9824,75.3887
ACC101603,08-03-2023,2023,3,8,Wednesday,21:24,Q1,Rajasthan,Rajasthan_District-6,North,Urban,City Road,Bridge,Clear,Good,Potholes,Night - Streetlight,High,Two-Wheeler,5,33,Male,10,40,45,No,N/A,No,No,Signal Jumping,Vehicle Rollover,Minor,0,0,0,,No,12870,Yes,Yes,Yes,No,No,0.1,23.5,27.1973,74.1061
ACC101348,31-05-2024,2024,5,31,Friday,10:43,Q2,Bihar,Bihar_District-1,East,Rural,Expressway,Roundabout,Foggy,Very Poor,Potholes,Daylight,High,Pedestrian-Involved,2,,Male,13,100,124,N/A,N/A,No,No,Overspeeding,Head-on Collision,Serious,4,0,4,49,No,57848,Yes,Yes,No,No,No,2.1,24.6,24.998,85.0242
ACC100825,26-05-2023,2023,5,26,Friday,08:11,Q2,Telangana,Telangana_District-1,South,Urban,City Road,Junction,Clear,Good,Dry,Daylight,High,Two-Wheeler,1,36,Male,17,40,49,Yes,N/A,No,No,Overtaking,Pedestrian Hit,Minor,0,0,0,19,,13781,Yes,Yes,Yes,No,No,0.8,35.2,18.2877,78.3707
ACC101732,26-03-2023,2023,3,26,Sunday,08:23,Q1,Haryana,Haryana_District-7,North,Urban,National Highway,Straight Road,Cloudy,Moderate,Dry,Daylight,Very High,Car,1,32,Male,11,80,91,N/A,No,No,No,Mobile Phone Usage,Vehicle Rollover,Minor,2,0,2,27,No,27842,Yes,No,No,Yes,No,0.2,25,28.242,75.6721
ACC101314,25-09-2023,2023,9,25,Monday,08:56,Q3,Maharashtra,Maharashtra_District-6,West,Rural,National Highway,Flyover,Rainy,Poor,Wet,Daylight,High,Car,3,37,Male,15,80,87,N/A,No,Yes,No,Drunk Driving,Vehicle Rollover,Fatal,1,1,0,13,Yes,,No,Yes,No,No,No,17.7,23.2,19.4216,75.6966
ACC100594,28-12-2024,2024,12,28,Saturday,18:24,Q4,Delhi,Delhi_District-8,North,Urban,National Highway,Bridge,Rainy,Poor,Dry,Dusk/Dawn,Very High,Two-Wheeler,2,43,Male,18,80,100,No,N/A,No,Yes,Drunk Driving,Side Collision,Serious,2,0,2,11,Yes,36275,Yes,Yes,Yes,No,No,1.6,5,28.6209,78.4921
ACC100632,01-05-2023,2023,5,1,Monday,22:38,Q2,Madhya Pradesh,Madhya_District-3,Central,Urban,Expressway,Roundabout,Clear,Good,Dry,Night - No Streetlight,Moderate,Tractor,3,18,Male,0,100,141,N/A,N/A,No,No,Overspeeding,Side Collision,Fatal,7,2,5,26,Yes,,Yes,Yes,No,No,No,1.2,23.8,24.4176,77.6869
ACC101683,03-09-2024,2024,9,3,Tuesday,05:47,Q3,Bihar,Bihar_District-4,East,Rural,Expressway,Bridge,Clear,Good,Dry,Night - No Streetlight,Low,Two-Wheeler,1,28,Male,6,100,79,No,N/A,No,No,Signal Jumping,Side Collision,Serious,2,0,2,31,Yes,48651,Yes,Yes,No,No,No,1.1,17.7,25.1206,84.3698
ACC101023,16-11-2023,2023,11,16,Thursday,19:54,Q4,Uttar Pradesh,Uttar_District-5,North,Urban,National Highway,Junction,Cloudy,Moderate,Under Construction,Night - No Streetlight,Very High,Auto-Rickshaw,1,47,Male,23,80,102,N/A,N/A,No,Yes,Signal Jumping,Head-on Collision,Serious,6,0,6,5,No,13597,No,Yes,No,Yes,No,3.9,28,27.5416,80.5265
ACC101774,24-03-2024,2024,3,24,Sunday,17:36,Q1,Karnataka,Karnataka_District-7,South,Rural,Village Road,Bridge,Clear,Good,Dry,Daylight,High,Two-Wheeler,2,38,Male,15,30,21,No,N/A,No,No,Signal Jumping,Side Collision,Minor,1,0,1,17,Yes,16561,Yes,No,Yes,No,No,3.6,31.5,16.5385,75.1475
ACC101380,19-10-2024,2024,10,19,Saturday,20:15,Q4,Haryana,Haryana_District-1,North,Rural,City Road,Flyover,Clear,Good,Wet,Night - Streetlight,Moderate,Two-Wheeler,1,18,Female,0,40,43,Yes,N/A,Yes,No,Mobile Phone Usage,Head-on Collision,Minor,1,0,1,41,Yes,23878,No,No,Yes,Yes,No,1.2,29,29.3512,75.8553
ACC100186,17-06-2024,2024,6,17,Monday,21:06,Q2,Uttar Pradesh,Uttar_District-3,North,Urban,City Road,Flyover,Cloudy,Moderate,Dry,Night - Streetlight,Very High,Bicycle,3,44,Male,22,40,51,N/A,N/A,No,No,Pedestrian Crossing Negligence,Hit and Run,Serious,3,1,2,24,Yes,20402,Yes,Yes,No,No,No,4.3,28.3,26.6312,80.7519
ACC101150,14-07-2023,2023,7,14,Friday,19:24,Q3,Uttar Pradesh,Uttar_District-2,North,Urban,City Road,Bridge,Clear,Good,Dry,Night - No Streetlight,High,Car,4,43,Male,23,40,36,N/A,Yes,No,No,Mobile Phone Usage,Hit and Run,Minor,3,0,3,51,Yes,21403,Yes,Yes,No,No,No,0.6,16.2,26.7093,80.5131
ACC100201,27-07-2024,2024,7,27,Saturday,20:52,Q3,Haryana,Haryana_District-1,North,Urban,Expressway,Bridge,Rainy,Poor,Wet,Night - Streetlight,Very High,Car,2,39,Female,,100,177,N/A,Yes,No,Yes,Mobile Phone Usage,Side Collision,Fatal,2,2,0,54,Yes,77050,No,Yes,No,No,No,28.4,25.4,29.4837,75.1113
ACC101040,20-02-2024,2024,2,20,Tuesday,22:14,Q1,Andhra Pradesh,Andhra_District-1,South,Urban,City Road,Straight Road,Rainy,Poor,Wet,Night - Streetlight,Very High,Two-Wheeler,3,21,Male,1,40,51,No,N/A,No,Yes,Overspeeding,Side Collision,Serious,3,0,3,18,No,61235,Yes,Yes,No,No,No,27.4,19.8,16.4685,79.716
ACC100644,08-08-2023,2023,8,8,Tuesday,19:16,Q3,Madhya Pradesh,Madhya_District-4,Central,Rural,National Highway,Straight Road,Cloudy,Moderate,Dry,Night - No Streetlight,Very High,Two-Wheeler,2,18,Male,0,80,84,No,N/A,No,No,Drunk Driving,Head-on Collision,Serious,7,1,6,30,Yes,100658,Yes,Yes,No,No,Yes,3,10.6,22.8679,78.7916
ACC100701,23-04-2023,2023,4,23,Sunday,18:59,Q2,Kerala,Kerala_District-1,South,Urban,Expressway,Roundabout,Clear,Good,Dry,Dusk/Dawn,Moderate,Bus,2,23,Male,2,100,66,N/A,N/A,No,No,Overtaking,Rear-end Collision,Minor,1,0,1,33,Yes,13851,No,Yes,No,No,No,0.9,26.4,10.7131,76.3439
ACC100743,01-08-2024,2024,8,1,Thursday,17:07,Q3,Bihar,Bihar_District-4,East,Urban,State Highway,Roundabout,Cloudy,Moderate,Under Construction,Daylight,High,Tractor,2,47,Male,24,60,60,N/A,N/A,No,No,Overspeeding,Multi-Vehicle Pileup,Serious,4,0,4,,Yes,60771,Yes,Yes,No,No,No,1.3,13.8,25.7435,83.9067
ACC101819,16-07-2023,2023,7,16,Sunday,22:06,Q3,Madhya Pradesh,Madhya_District-7,Central,Urban,National Highway,Roundabout,Foggy,Very Poor,Dry,Night - Streetlight,High,Car,3,18,Male,0,80,69,N/A,Yes,No,No,Wrong Side Driving,Head-on Collision,Serious,4,1,3,29,Yes,40144,No,Yes,No,No,No,1.2,32.6,24.2365,78.9944
ACC100397,10-09-2024,2024,9,10,Tuesday,08:42,Q3,Tamil Nadu,Tamil_District-3,South,Rural,City Road,Roundabout,Clear,Good,Dry,Daylight,Very High,Car,3,48,Female,29,40,51,N/A,Yes,No,No,Mobile Phone Usage,Hit and Run,Minor,0,0,0,23,Yes,17196,No,Yes,No,No,No,1.4,27.9,11.4368,78.0108
ACC100352,16-01-2024,2024,1,16,Tuesday,21:35,Q1,Delhi,Delhi_District-5,North,Urban,City Road,Flyover,Rainy,Poor,Potholes,Night - No Streetlight,Very High,Two-Wheeler,2,42,Male,16,40,55,Yes,N/A,No,No,Drunk Driving,Pedestrian Hit,Fatal,4,4,0,9,Yes,214722,Yes,Yes,No,No,No,25.9,18.4,28.1853,76.7721
ACC100699,17-09-2024,2024,9,17,Tuesday,23:35,Q3,Gujarat,Gujarat_District-8,West,Urban,State Highway,Straight Road,Clear,Good,Oil Spill,Night - No Streetlight,Very High,Two-Wheeler,2,,Male,1,60,94,No,N/A,No,No,Pedestrian Crossing Negligence,Vehicle Rollover,Fatal,6,3,3,27,Yes,155218,Yes,Yes,No,No,No,2.6,21,22.5461,72.0317
ACC100591,22-10-2023,2023,10,22,Sunday,13:35,Q4,Telangana,Telangana_District-4,South,Urban,Expressway,Junction,Rainy,Poor,Dry,Daylight,Low,Auto-Rickshaw,5,18,Male,0,100,115,N/A,N/A,No,No,Overspeeding,Rear-end Collision,Serious,3,0,3,19,No,33182,Yes,Yes,Yes,No,No,31.7,15.2,18.1605,79.2634
ACC100936,14-08-2024,2024,8,14,Wednesday,09:32,Q3,Tamil Nadu,Tamil_District-1,South,Urban,Village Road,Junction,Rainy,Poor,Potholes,Daylight,Very High,Two-Wheeler,3,34,Male,12,30,30,Yes,N/A,No,No,Pedestrian Crossing Negligence,Multi-Vehicle Pileup,Minor,1,0,1,22,Yes,19104,Yes,Yes,No,No,No,5.7,25,10.94,79.436
ACC100376,03-11-2023,2023,11,3,Friday,22:30,Q4,Tamil Nadu,Tamil_District-4,South,Rural,Expressway,Straight Road,Clear,Good,Potholes,Night - No Streetlight,Low,Two-Wheeler,1,29,Female,5,100,152,Yes,N/A,No,No,Mobile Phone Usage,Vehicle Rollover,Fatal,6,2,4,5,Yes,147566,No,Yes,No,No,No,1,22.1,10.2619,78.8759
ACC100873,14-04-2024,2024,4,14,Sunday,19:15,Q2,Odisha,Odisha_District-3,East,Urban,City Road,Straight Road,Clear,Good,Under Construction,Night - No Streetlight,Very High,Car,4,18,Male,0,40,42,N/A,Yes,No,No,Overspeeding,Multi-Vehicle Pileup,Serious,3,0,3,17,Yes,68134,Yes,Yes,Yes,No,No,0.4,30.6,21.5158,85.4655
ACC100741,19-01-2024,2024,1,19,Friday,08:55,Q1,West Bengal,West_District-2,East,Urban,City Road,Straight Road,Stormy,Poor,Dry,Daylight,Moderate,Two-Wheeler,5,,Male,26,40,34,Yes,N/A,No,Yes,Brake Failure,Rear-end Collision,Serious,1,0,1,10,Yes,63899,Yes,Yes,Yes,No,Yes,0,29.1,21.8773,87.5969
ACC100147,22-05-2024,2024,5,22,Wednesday,20:44,Q2,Odisha,Odisha_District-2,East,Rural,National Highway,Straight Road,Clear,Good,Wet,Night - No Streetlight,Moderate,Auto-Rickshaw,3,36,Male,16,80,88,N/A,N/A,No,No,Overspeeding,Vehicle Rollover,Serious,3,0,3,13,No,58830,Yes,Yes,No,No,No,2.3,33.7,21.6245,84.6025
ACC101654,15-12-2024,2024,12,15,Sunday,10:05,Q4,Tamil Nadu,Tamil_District-2,South,Urban,City Road,Curve/Bend,Rainy,Poor,Wet,Daylight,Very High,Truck,1,48,Female,26,40,38,N/A,N/A,Yes,No,Drunk Driving,Head-on Collision,Serious,6,0,6,22,No,51140,No,Yes,No,No,No,2.2,14.3,9.618,77.5885
ACC101029,10-10-2024,2024,10,10,Thursday,19:05,Q4,Bihar,Bihar_District-7,East,Urban,Expressway,Roundabout,Clear,Good,Dry,Night - No Streetlight,Very High,Car,1,37,Male,12,100,125,N/A,Yes,No,No,Mobile Phone Usage,Pedestrian Hit,Serious,5,1,4,38,Yes,47762,Yes,Yes,No,Yes,No,1.6,27.2,25.3457,84.5828
ACC100928,07-06-2024,2024,6,7,Friday,19:21,Q2,Rajasthan,Rajasthan_District-4,North,Urban,State Highway,Junction,Clear,Good,Under Construction,Night - Streetlight,Moderate,Two-Wheeler,4,18,Female,0,60,45,No,N/A,Yes,No,Drunk Driving,Rear-end Collision,Minor,1,0,1,29,Yes,21955,No,No,Yes,No,No,0,28.7,26.8288,74.3578
ACC100670,05-01-2023,2023,1,5,Thursday,18:10,Q1,Bihar,Bihar_District-5,East,Rural,City Road,Curve/Bend,Rainy,Poor,Wet,Dusk/Dawn,Low,Two-Wheeler,5,29,Male,9,40,41,Yes,N/A,No,No,Signal Jumping,Head-on Collision,Minor,0,0,0,22,Yes,18835,Yes,Yes,No,No,Yes,10.6,11.7,24.6377,85.2257
ACC101228,13-02-2023,2023,2,13,Monday,09:40,Q1,Rajasthan,Rajasthan_District-1,North,Urban,National Highway,Roundabout,Cloudy,Moderate,Dry,Daylight,Very High,Two-Wheeler,2,26,Female,6,80,93,Yes,N/A,No,No,Poor Road Condition,Multi-Vehicle Pileup,Minor,0,0,0,19,No,16258,No,No,No,No,No,1.1,18.3,25.8464,73.6517
ACC101670,30-04-2023,2023,4,30,Sunday,19:23,Q2,Uttar Pradesh,Uttar_District-8,North,Rural,Village Road,Straight Road,Foggy,Very Poor,,Night - Streetlight,Very High,Two-Wheeler,3,49,Female,27,30,33,No,N/A,No,No,Fog/Low Visibility,Vehicle Rollover,Minor,0,0,0,28,Yes,21559,No,Yes,No,No,No,0.1,33.4,26.9426,81.4295
ACC101187,04-03-2023,2023,3,4,Saturday,14:40,Q1,Maharashtra,Maharashtra_District-7,West,Urban,Village Road,Straight Road,Clear,Good,Dry,Daylight,Low,Car,1,45,Male,23,30,46,N/A,Yes,No,Yes,Drunk Driving,Rear-end Collision,Fatal,3,2,1,20,No,195956,No,Yes,Yes,No,No,1.7,20.3,20.7468,75.658
ACC100207,16-05-2024,2024,5,16,Thursday,18:19,Q2,Tamil Nadu,Tamil_District-1,South,Urban,Expressway,Roundabout,Clear,Good,Dry,Dusk/Dawn,Moderate,Car,1,31,Male,8,100,111,N/A,Yes,No,No,Overspeeding,Hit and Run,Minor,1,0,1,23,No,15423,Yes,Yes,No,No,No,0.2,23.7,11.5615,78.867
ACC100518,27-07-2023,2023,7,27,Thursday,09:38,Q3,Rajasthan,Rajasthan_District-1,North,Urban,National Highway,Straight Road,Clear,Good,Dry,Daylight,Very High,Bicycle,3,32,Male,13,80,92,N/A,N/A,No,No,Overspeeding,Vehicle Rollover,Serious,3,0,3,26,No,38436,No,Yes,Yes,No,No,1.5,23.4,26.2519,74.4324
ACC100830,16-07-2024,2024,7,16,Tuesday,22:32,Q3,Manipur,Manipur_District-7,Northeast,Urban,City Road,Flyover,Rainy,Poor,Wet,Night - No Streetlight,Very High,Pedestrian-Involved,1,31,Male,11,40,39,N/A,N/A,Yes,No,Drunk Driving,Side Collision,Fatal,5,2,3,29,Yes,152922,Yes,Yes,No,No,No,5.8,23.4,24.3293,94.7235
ACC101559,10-09-2024,2024,9,10,Tuesday,07:08,Q3,Uttar Pradesh,Uttar_District-6,North,Rural,Village Road,Flyover,Clear,Good,Potholes,Daylight,Moderate,Car,1,18,Female,0,30,33,N/A,No,No,Yes,Mobile Phone Usage,Side Collision,Minor,1,0,1,,Yes,19206,Yes,Yes,No,No,No,0.4,30.1,27.4783,81.2757
ACC101678,21-01-2023,2023,1,21,Saturday,18:31,Q1,Rajasthan,Rajasthan_District-7,North,Urban,City Road,Flyover,Cloudy,Moderate,Dry,Dusk/Dawn,High,Two-Wheeler,1,45,Male,18,40,25,Yes,N/A,No,No,Mobile Phone Usage,Vehicle Rollover,Minor,0,0,0,27,No,22096,No,Yes,No,No,No,5.2,22.1,27.7695,73.7868
ACC100038,26-01-2024,2024,1,26,Friday,22:08,Q1,Rajasthan,Rajasthan_District-8,North,Urban,City Road,Roundabout,Foggy,Very Poor,Oil Spill,Night - Streetlight,Moderate,Two-Wheeler,4,35,Male,15,40,64,Yes,N/A,No,No,Brake Failure,Hit and Run,Fatal,2,2,0,28,No,104375,Yes,Yes,No,No,No,3.3,24.1,26.8057,73.1848
ACC100807,09-04-2024,2024,4,9,Tuesday,15:28,Q2,Odisha,Odisha_District-3,East,Urban,City Road,Roundabout,Clear,Good,Potholes,Daylight,High,Car,3,48,Male,25,40,51,N/A,No,No,No,Mobile Phone Usage,Hit and Run,Minor,2,0,2,30,Yes,8360,Yes,Yes,Yes,No,No,3.9,36.9,21.0938,84.4434
ACC101147,30-07-2024,2024,7,30,Tuesday,17:13,Q3,Haryana,Haryana_District-6,North,Rural,Village Road,Junction,Clear,Good,Under Construction,Daylight,Very High,Auto-Rickshaw,3,51,Male,26,30,39,N/A,N/A,No,No,Brake Failure,Vehicle Rollover,Minor,0,0,0,17,Yes,15235,Yes,No,No,No,No,0.6,32.5,28.3517,77.4453
ACC101195,25-09-2023,2023,9,25,Monday,20:32,Q3,Uttar Pradesh,Uttar_District-6,North,Rural,State Highway,Curve/Bend,Cloudy,Moderate,Dry,Night - Streetlight,Very High,Bus,4,18,Male,0,60,91,N/A,N/A,No,No,Fog/Low Visibility,Hit and Run,Serious,1,0,1,30,Yes,63593,No,Yes,No,No,No,0.7,25.1,27.2121,81.2018
ACC101086,11-09-2024,2024,9,11,Wednesday,18:58,Q3,Uttar Pradesh,Uttar_District-2,North,Urban,National Highway,Bridge,Clear,Good,Dry,Dusk/Dawn,Moderate,Two-Wheeler,3,41,Female,17,80,78,Yes,N/A,No,No,Overspeeding,Side Collision,Minor,0,0,0,20,Yes,6776,No,No,No,No,No,0.4,26.1,27.3435,80.9056
ACC100811,10-10-2024,2024,10,10,Thursday,19:28,Q4,Karnataka,Karnataka_District-8,South,Urban,City Road,Flyover,Clear,Good,Dry,Night - Streetlight,Moderate,Two-Wheeler,3,39,Male,16,40,48,No,N/A,No,No,Mobile Phone Usage,Head-on Collision,Minor,1,0,1,34,No,18468,No,Yes,No,Yes,No,0.3,26.7,14.5635,76.7635
ACC101294,02-12-2024,2024,12,2,Monday,21:20,Q4,Punjab,Punjab_District-7,North,Rural,National Highway,Straight Road,Clear,Good,Dry,Night - Streetlight,High,Two-Wheeler,2,69,Male,48,80,75,Yes,N/A,No,No,Overtaking,Side Collision,Minor,3,0,3,47,No,16764,Yes,Yes,No,No,No,0.5,13.5,30.978,75.4223
